branch,run_at,git_commit,chain_id,total_students,student_index,student_id,wallet_address,ganache_account_index,clean,exposed_name_count,exposed_value_count,exposed_names,encodings_checked,encodings_skipped
off-chain (ADV),2026-09-12T22:07:43.781Z,2ec59fc9522059b44a23c3a62e6926a48311e8c1,1337,500,81,24560081,0xbc8183bac3E969042736f7af07f76223D11D2148,82,true,0,0,(khong),16,2
off-chain (ADV),2026-09-12T22:07:43.781Z,2ec59fc9522059b44a23c3a62e6926a48311e8c1,1337,500,82,24560082,0x586aF62EAe7F447D14D25f53918814e04d3A5BA4,83,true,0,0,(khong),16,2
off-chain (ADV),2026-09-12T22:07:43.781Z,2ec59fc9522059b44a23c3a62e6926a48311e8c1,1337,500,83,24560083,0xCcDd262f272Ee6C226266eEa13eE48D4d932Ce66,84,true,0,0,(khong),16,2
off-chain (ADV),2026-09-12T22:07:43.781Z,2ec59fc9522059b44a23c3a62e6926a48311e8c1,1337,500,84,24560084,0xF0eeDDC5e015d4c459590E01Dcc2f2FD1d2baac7,85,true,0,0,(khong),16,2
off-chain (ADV),2026-09-12T22:07:43.781Z,2ec59fc9522059b44a23c3a62e6926a48311e8c1,1337,500,85,24560085,0x4edFEDFf17ab9642F8464D6143900903dD21421a,86,true,0,0,(khong),16,2
off-chain (ADV),2026-09-12T22:07:43.781Z,2ec59fc9522059b44a23c3a62e6926a48311e8c1,1337,500,86,24560086,0x492C973C16E8aeC46f4d71716E91b05B245377C9,87,true,0,0,(khong),16,2
off-chain (ADV),2026-09-12T22:07:43.781Z,2ec59fc9522059b44a23c3a62e6926a48311e8c1,1337,500,87,24560087,0xE5D3ab6883b7e8c35c04675F28BB992Ca1129ee4,88,true,0,0,(khong),16,2
off-chain (ADV),2026-09-12T22:07:43.781Z,2ec59fc9522059b44a23c3a62e6926a48311e8c1,1337,500,88,24560088,0x71F280DEA6FC5a03790941Ad72956f545FeB7a52,89,true,0,0,(khong),16,2
off-chain (ADV),2026-09-12T22:07:43.781Z,2ec59fc9522059b44a23c3a62e6926a48311e8c1,1337,500,89,24560089,0xE77478D9E136D3643cFc6fef578Abf63F9Ab91B1,90,true,0,0,(khong),16,2
off-chain (ADV),2026-09-12T22:07:43.781Z,2ec59fc9522059b44a23c3a62e6926a48311e8c1,1337,500,90,24560090,0x6C8EA11559DFE79Ae3dBDD6A67b47F61b929398f,91,true,0,0,(khong),16,2
off-chain (ADV),2026-09-12T22:07:43.781Z,2ec59fc9522059b44a23c3a62e6926a48311e8c1,1337,500,91,24560091,0x48fA7b63049A6F4E7316EB2D9c5BDdA8933BCA2f,92,true,0,0,(khong),16,2
off-chain (ADV),2026-09-12T22:07:43.781Z,2ec59fc9522059b44a23c3a62e6926a48311e8c1,1337,500,92,24560092,0x16aDfbeFdEfD488C992086D472A4CA577a0e5e54,93,true,0,0,(khong),16,2
off-chain (ADV),2026-09-12T22:07:43.781Z,2ec59fc9522059b44a23c3a62e6926a48311e8c1,1337,500,93,24560093,0x225356FF5d64889D7364Be2c990f93a66298Ee8D,94,true,0,0,(khong),16,2
off-chain (ADV),2026-09-12T22:07:43.781Z,2ec59fc9522059b44a23c3a62e6926a48311e8c1,1337,500,94,24560094,0xcBDc0F9a4C38f1e010bD3B6e43598A55D1868c23,95,true,0,0,(khong),16,2
off-chain (ADV),2026-09-12T22:07:43.781Z,2ec59fc9522059b44a23c3a62e6926a48311e8c1,1337,500,95,24560095,0xBc5BdceE96b1BC47822C74e6f64186fbA7d686be,96,true,0,0,(khong),16,2
off-chain (ADV),2026-09-12T22:07:43.781Z,2ec59fc9522059b44a23c3a62e6926a48311e8c1,1337,500,96,24560096,0x0536896a5e38BbD59F3F369FF3682677965aBD19,97,true,0,0,(khong),16,2
