mechanism,n,student_index,deploy_pool_gas,deploy_verifier_gas,update_root_gas,verify_gas,verify_onchain_ms,withdraw_gas,withdraw_ms,verify_record_gas,verify_record_ms,settle_gas,settle_ms,root,nullifier
onchain,60,29,1979758,4554511,118668,532370,1002.852000,582759,970.977700,615751,727.788700,69626,34.944800,0x07d66fb089ef322470bc90b30af018283fc0ee359488f475c464d8797765c4f6,0x2802fa5a32a7976911a399fb24b1323a266591724651a4a97769fbc10cbe0cdf
onchain,60,30,1979758,4554511,118668,532238,1633.727900,582627,645.759400,615619,678.231300,69626,33.429100,0x07d66fb089ef322470bc90b30af018283fc0ee359488f475c464d8797765c4f6,0x0b4c87eec2ec202c592dc3d0316934da848edfd63eedd9210cb74c70a012a787
onchain,60,31,1979758,4554511,118668,532358,654.763100,582735,665.150600,615727,729.589600,69614,29.481400,0x07d66fb089ef322470bc90b30af018283fc0ee359488f475c464d8797765c4f6,0x1171e148d9bc7d25c875cf6be9f735dd4617df391d51d400e44ab099769dc2ca
onchain,60,32,1979758,4554511,118668,532238,618.186900,582627,598.791000,615619,692.690800,69626,31.601600,0x07d66fb089ef322470bc90b30af018283fc0ee359488f475c464d8797765c4f6,0x1e992e9c9ddca0f0a4d786bd7b4e9c6d825d9da4d5e0ece025345851b9c956f9
onchain,60,33,1979758,4554511,118668,532358,610.328400,582735,727.304900,615727,675.781600,69614,23.859000,0x07d66fb089ef322470bc90b30af018283fc0ee359488f475c464d8797765c4f6,0x2508af6734d9aa570046fdff112266890c3b474368fee11f4ebb0df351ac9ffc
onchain,60,34,1979758,4554511,118668,532358,631.547600,582747,693.046200,615739,620.408300,69626,23.447500,0x07d66fb089ef322470bc90b30af018283fc0ee359488f475c464d8797765c4f6,0x25cd6d3e407e20cc101f3733a08136a6fc2ce1c4375fc8463fb4c0510672b7ce
onchain,60,35,1979758,4554511,118668,532298,606.228400,582687,618.839100,615679,620.677600,69626,39.660000,0x07d66fb089ef322470bc90b30af018283fc0ee359488f475c464d8797765c4f6,0x22ce652be6765e9365a97427eb74482676c8858522423ebcb6bcb630e5ea1a53
onchain,60,36,1979758,4554511,118668,532226,654.682500,582615,991.775600,615607,1139.922600,69626,38.523900,0x07d66fb089ef322470bc90b30af018283fc0ee359488f475c464d8797765c4f6,0x193ec85623c75981256ac172a83a59126b6278a1b9d0471a16a4f759c279c081
onchain,60,37,1979758,4554511,118668,532346,884.896600,582723,938.070200,615715,893.137500,69614,27.102900,0x07d66fb089ef322470bc90b30af018283fc0ee359488f475c464d8797765c4f6,0x300ef6c849f8385fac0092d4dbb531bbd62669233d48612a44690bc9fd85ee53
onchain,60,38,1979758,4554511,118668,532334,653.621200,582711,701.107800,615703,609.724500,69614,43.767500,0x07d66fb089ef322470bc90b30af018283fc0ee359488f475c464d8797765c4f6,0x27f77e66393298ee593eaeb49c39a0e8b0dbd7f89b471b7bd77d00dd09a8d59d
